Seq,1:EventCounter,1:Sync,1:Aux,1:Fx,1:Fy,1:Fz,1:Mx,1:My,1:Mz,1:COPx,1:COPy,2:EventCounter,2:Sync,2:Aux,2:Fx,2:Fy,2:Fz,2:Mx,2:My,2:Mz,2:COPx,2:COPy,3:EventCounter,3:Sync,3:Aux,3:Fx,3:Fy,3:Fz,3:Mx,3:My,3:Mz,3:COPx,3:COPy,4:EventCounter,4:Sync,4:Aux,4:Fx,4:Fy,4:Fz,4:Mx,4:My,4:Mz,4:COPx,4:COPy
4740.000000,2433402.000000,255.000000,255.000000,-10.251787,-36.573845,1.587595,-0.169805,0.936799,-2.296803,0.000000,0.000000,2433402.000000,248.000000,255.000000,-2.532475,-59.024506,-6.816274,-2.383883,0.205341,4.837986,0.000000,0.000000,2433402.000000,255.000000,255.000000,3.825155,-25.800339,-3.440084,3.315605,-0.249904,2.167386,0.000000,0.000000,2433402.000000,192.000000,255.000000,-37.347008,-50.433002,174.660919,-64.587898,20.796593,-5.282104,-0.119068,-0.369790
4741.000000,2433403.000000,255.000000,255.000000,-9.904208,-38.650204,0.849974,-0.093826,0.682976,-2.104435,0.000000,0.000000,2433403.000000,248.000000,255.000000,-2.058692,-59.135242,-7.031464,-2.059472,0.421429,4.227942,0.000000,0.000000,2433403.000000,255.000000,255.000000,3.814971,-25.332548,-3.167284,3.207980,-0.267728,2.044840,0.000000,0.000000,2433403.000000,192.000000,255.000000,-37.197445,-53.391689,187.559387,-57.863804,17.097099,-3.970688,-0.091156,-0.308509
4742.000000,2433404.000000,255.000000,255.000000,-9.439055,-38.133278,-0.434162,-0.468151,0.617281,-1.802042,0.000000,0.000000,2433404.000000,248.000000,255.000000,-1.243510,-56.386250,-6.136121,-1.397976,0.457243,3.399938,0.000000,0.000000,2433404.000000,255.000000,255.000000,3.620066,-23.614319,-3.097330,3.214516,-0.253446,2.247311,0.000000,0.000000,2433404.000000,192.000000,255.000000,-31.725866,-52.524727,188.757599,-47.589737,12.879266,-3.821968,-0.068232,-0.252121
4743.000000,2433405.000000,255.000000,255.000000,-9.384006,-34.100685,-2.087744,-0.637225,0.491091,-1.261119,0.000000,0.000000,2433405.000000,248.000000,255.000000,0.245461,-50.187511,-4.291762,-0.464164,0.433549,2.122861,0.000000,0.000000,2433405.000000,255.000000,255.000000,3.149142,-20.010473,-2.347121,3.118376,-0.321632,2.469732,0.000000,0.000000,2433405.000000,192.000000,255.000000,-22.515099,-46.595226,179.978348,-38.050880,10.755726,-4.812245,-0.059761,-0.211419
4744.000000,2433406.000000,255.000000,255.000000,-8.812912,-28.364090,-3.311177,-0.954693,0.456201,-0.823836,0.000000,0.000000,2433406.000000,248.000000,255.000000,1.481343,-42.278500,-1.365435,0.147884,0.432649,1.767277,0.000000,0.000000,2433406.000000,255.000000,255.000000,2.391822,-17.058088,-1.610140,3.094184,-0.293609,2.324842,0.000000,0.000000,2433406.000000,192.000000,255.000000,-13.804472,-38.336468,168.989258,-35.012344,12.233490,-4.985965,-0.072392,-0.207187
4745.000000,2433407.000000,255.000000,255.000000,-8.104719,-22.134314,-4.592390,-1.381199,0.467226,-0.418179,0.000000,0.000000,2433407.000000,248.000000,255.000000,1.952153,-34.607101,1.509971,0.656437,0.388068,2.193651,0.000000,0.000000,2433407.000000,255.000000,255.000000,1.981503,-14.845489,-1.433961,3.135660,-0.304545,2.289325,0.000000,0.000000,2433407.000000,192.000000,255.000000,-7.741173,-29.284031,156.948822,-37.625206,16.410385,-4.444468,-0.104559,-0.239729
4746.000000,2433408.000000,255.000000,255.000000,-7.713435,-15.631391,-4.726290,-1.889637,0.331845,-0.975674,0.000000,0.000000,2433408.000000,248.000000,255.000000,0.639368,-28.392813,4.738053,0.871592,0.198257,3.505218,0.000000,0.000000,2433408.000000,255.000000,255.000000,2.394016,-12.821941,-1.268036,3.186809,-0.300637,1.975613,0.000000,0.000000,2433408.000000,192.000000,255.000000,-7.618101,-20.984715,144.284943,-45.151337,21.550095,-4.248907,-0.149358,-0.312932
4747.000000,2433409.000000,255.000000,255.000000,-7.455305,-13.029279,-4.099495,-1.996715,0.273791,-1.996287,0.000000,0.000000,2433409.000000,248.000000,255.000000,-0.069410,-26.203934,6.713184,0.615134,-0.023688,4.976245,0.003529,0.091631,2433409.000000,255.000000,255.000000,2.574049,-12.035534,-1.217019,3.064330,-0.403918,1.823103,0.000000,0.000000,2433409.000000,192.000000,255.000000,-10.818274,-16.379335,131.163391,-50.872257,24.498140,-4.753944,-0.186776,-0.387854
4748.000000,2433410.000000,255.000000,255.000000,-7.857348,-13.656997,-2.340111,-2.037405,0.304530,-2.878950,0.000000,0.000000,2433410.000000,248.000000,255.000000,-1.375035,-29.033985,6.765103,0.299144,0.074517,5.949761,-0.011015,0.044219,2433410.000000,255.000000,255.000000,4.010395,-12.719252,-1.737304,3.060688,-0.418623,1.788735,0.000000,0.000000,2433410.000000,192.000000,255.000000,-17.023876,-15.070918,114.744110,-53.626019,24.801044,-5.807801,-0.216142,-0.467353
4749.000000,2433411.000000,255.000000,255.000000,-9.858459,-17.719656,-0.852928,-2.003168,0.498531,-2.906461,0.000000,0.000000,2433411.000000,248.000000,255.000000,-2.935601,-35.273132,6.326338,-0.074035,0.307539,5.884694,-0.048612,-0.011703,2433411.000000,255.000000,255.000000,5.413583,-14.759045,-2.449114,2.976340,-0.294932,1.838265,0.000000,0.000000,2433411.000000,192.000000,255.000000,-21.978081,-17.929937,95.627075,-50.591293,21.598686,-6.205761,-0.225864,-0.529048
